Site,LABNR,C14AGE,C14STD,Lat,Lon
ALMIZARAQUE,CSIC 754,4060,70,37.26,-1.79
OLELAS,ICEN 347,4060,70,38.45,-9.15
PEDRA ESCORREGADIA,ICEN 844,4060,70,37.07,-8.92
VALENCINA DE LA CONCEPCION,Ua 36026*,3965,35,37.42,-6.08
LA CEÑUELA,CSIC 140,4050,70,37.67,-1.41
CASTANHEIRO DO VENTO,Ua 22459*,4010,50,41.06,-7.32
ANJO- QUINTA DO / CASAL DO PARDO,GrN 10744,4040,70,38.56,-8.94
LECEIA,ICEN 1220,4030,70,38.73,-9.28
CABEZO JURE,Ua 22807*,3995,45,37.56,-7.09
AMARGUILLO 3,OxA 3971*,4030,65,37.16,-5.71
EL MALAGON,BM 2347,4020,60,37.57,-2.42
CERRO DE LA VIRGEN ,UNK 1,4020,60,37.73,-2.51
LOS MILLARES- POBLADO,Beta 124529*,4020,60,36.97,-2.52
TORRE DO ESPORÃO,OxA 5534*,4010,60,38.4,-7.46
ALMIZARAQUE,IRPA 1081,4000,50,37.26,-1.79
CASTANHEIRO DO VENTO,Ua 18697*,4005,60,41.06,-7.32
PENHA VERDE,ICEN 1275,4000,50,38.8,-9.4
JUNTA DE LOS RIOS,Beta 172051,3980,40,37.56,-6.71
BURACO DA PALA,CSIC 825,4000,60,41.46,-7.29
CASTANHEIRO DO VENTO,Ua 20451*,3980,40,41.06,-7.32
LOS MILLARES- FORTIN 1,Beta 125861,3980,40,36.96,-2.53
LOS HUSOS I,Beta 148061,3980,40,42.59,-2.55
PERDIGOES,Beta 285095*,3980,40,38.44,-7.55
ZAMBUJAL,KN 4988,3980,40,39.07,-9.29
PERDIGOES,Beta 285097*,3980,40,38.44,-7.55
RASCAVIEJA,AA 37886*,3999,59,43.32,-3.6
EL ARAMO- MINAS DE,OxA 6789*,3995,50,43.19,-5.9
ZAMBUJAL,KIA 27557,3996,23,39.07,-9.29
CASTANHEIRO DO VENTO,Ua 32088*,3990,45,41.06,-7.32
PALACIO QUEMADO,UNK 1,4050,100,38.7,-6.3
CABEZO JURE,Ua 22806*,3985,45,37.56,-7.09
SAO PEDRO,KIA 33865*,4043,95,38.65,-7.55
LECEIA,ICEN 1174,3980,50,38.73,-9.28
ALMIZARAQUE,KIK-229/UtC 2630*,4040,100,37.26,-1.79
ALBALATE,UNK 1,4040,100,37.87,-4.22
IRITEGI,I 18630,4040,100,42.98,-2.41
CIAVIEJA,I 15007,4040,100,36.78,-2.8
CASTELO VELHO,Ua 20631*,3975,40,41.07,-7.19
TERRERA VENTURA,HAR 298,4030,80,37.05,-2.4
MALHADA,Sac 1454,4030,80,40.68,-7.47
POÇO VELHO,Beta 244392,3970,40,38.7,-9.42
CASTANHEIRO DO VENTO,Ua 22458*,4020,80,41.06,-7.32
LECEIA,ICEN 1217,4020,80,38.73,-9.28
MANDUBI-ZELAIA,GrA 16946*,3960,45,43.09,-2.25
MANDUBI-ZELAIA,0,3960,40,43.09,-2.25
ZAMBUJAL,KN 4509,3960,44,39.07,-9.29
POÇO VELHO,Beta 178463,3960,40,38.7,-9.42
VERDELHA DOS RUIVOS,GrN 10971,3960,40,38.88,-9.08
LA PIJOTILLA,Beta 121145,4010,80,38.81,-6.66
LLANO DE LA VIRGEN,GrN 19993,4010,80,36.65,-4.78
SAN BLAS,Beta 178651,3950,40,38.55,-7.29
LOS MILLARES- FORTIN 1,Beta 125860*,3950,40,36.96,-2.53
CAMINO DEL MOLINO,Beta 244974,3950,40,38.1,-1.86
CASTELO VELHO,Ua 20634*,3945,45,41.07,-7.19
LOS MILLARES- FORTÕN 1,Beta 125862,4000,70,36.96,-2.53
EL ARAMO- MINAS DE,Ua 33695*,3945,45,43.19,-5.9
LOS MILLARES- POBLADO,Beta 124522,3990,60,36.97,-2.52
TITUARIA,OxA 5446,3995,65,38.93,-9.21
VALENCINA DE LA CONCEPCION,Ua 24558*,3995,75,37.42,-6.08
JUNTA DE LOS RIOS,Beta 172050,3990,70,37.56,-6.71
CASTANHEIRO DO VENTO,Ua 18695*,3990,65,41.06,-7.32
CASTANHEIRO DO VENTO,Ua 18696*,3975,60,41.06,-7.32
LECEIA,ICEN 1213,3970,70,38.73,-9.28
LOS CASTILLEJOS,Beta 145303*,3960,50,37.33,-3.97
DOMBATE,UtC 3201,3950,60,43.19,-8.97
MOURA- COVA DA,UBAR 536,3950,60,39.09,-9.24
ZAMBUJAL,KIA 7256,3951,55,39.07,-9.29
ALMIZARAQUE,CSIC 644,3950,50,37.26,-1.79
ARRIKRUTZ,GrA 11497*,3950,50,43,-2.43
EL ARAMO- MINAS DE,Ua 18633*,3940,60,43.19,-5.9
CASTANHEIRO DO VENTO,Ua 18703*,3935,60,41.06,-7.32
ZAMBUJAL,KIA 27564,3992,24,39.07,-9.29
PUERTO DE LOS HUERTOS,CNA 344*,3940,45,37.61,-6.53
VERDELHA DOS RUIVOS,ICEN 1242,3940,45,38.88,-9.08
LAS PILAS,IRPA 1028,3940,50,37.15,-1.85
TIO MELON- RAMBLA DEL,UGRA,3935,45,37.55,-2.86
BOUCA DO FRADE,CSIC 629 = CSIC 629R,3955,25,41.17,-8.05
CRASTO DE PALHEIROS,Ua 22213*,3935,45,41.4,-7.38
TERRERA VENTURA,I 7251,4025,90,37.05,-2.4
ZAMBUJAL,KN 4990,3934,51,39.07,-9.29
LOS MILLARES- FORTIN 1,BM 2536,3920,50,36.96,-2.53
CRASTO DE PALHEIROS,Ua 18529*,3920,50,41.4,-7.38
LOS GABRIELES 4,Beta 185649,3920,50,37.56,-6.71
ZAMBUJAL,GrN 6669,4025,95,39.07,-9.29
ZAMBUJAL,KN 4989,3917,50,39.07,-9.29
CASTELO VELHO,GrN 23512,4020,100,41.07,-7.19
EL TARAJAL,CSIC 223,4010,90,36.85,-2.21
ESCOURAL- POVOADO DO,ICEN 611,4010,90,38.6,-8.24
TERRERA VENTURA,I 7422,4015,95,37.05,-2.4
LARRARTE,GrA 20283*,3990,80,43.28,-2.37
CASTANHEIRO DO VENTO,Ua 18044*,3975,75,41.06,-7.32
EL MILAGRO- MINA,OxA 3005*,3990,90,43.33,-5.01
MALHADA,Beta 126090,3980,80,40.68,-7.47
EL CASTILLEJO,GrA 20661*,3980,80,36.88,-4.52
ZAMBUJAL,GrN 7007C,3950,65,39.07,-9.29
FUENTE ALAMO,B 3943,3970,90,37.33,-1.86
CASTELO VELHO,CSIC 1813*,3973,24,41.07,-7.19
CABEZO JURE,Ua 35668*,3975,30,37.56,-7.09
ESTALACTITAS- CUEVA DE LAS,AA*,3955,75,43.38,-4.12
CATALÃO,Wk 7441,3950,80,37.09,-8.89
CASTELO VELHO,Ua 17647*,3945,75,41.07,-7.19
ZAMBUJAL,KIA 27556,3965,32,39.07,-9.29
CHA DE PARADA 1,Gif 7672,3940,80,41.2,-8.01
EL MALAGON,GrN 10148,3930,70,37.57,-2.42
LARRARTE,Ua 10376*,3920,75,43.28,-2.37
CERRO DE LA VIRGEN ,GrN 5597,3920,60,37.73,-2.51
EL MALAGON,UNK 1,3920,70,37.57,-2.42
LECEIA,ICEN 737,3920,70,38.73,-9.28
CABEZO JURE,I 18307,3980,100,37.56,-7.09
A LAGOA,CSIC 899,3900,70,43,-7.98
LECEIA,ICEN 1215,3900,70,38.73,-9.28
FUENTE ALAMO,B 3945,3910,60,37.33,-1.86
LECEIA,ICEN 1218,3910,60,38.73,-9.28
ALCAZABA DE LOJA,UGRA 464,3900,60,37.17,-4.15
LOS MILLARES- POBLADO,Beta 124530*,3900,60,36.97,-2.52
LECEIA,ICEN 1241,3950,90,38.73,-9.28
KOBAEDERRA,0,3900,60,43.34,-2.62
BURACO DA PALA,GrN 19101,3955,25,41.46,-7.29
ESCOURAL- POVOADO DO,ICEN 610,3940,90,38.6,-8.24
LIBRILLA- RAMBLA DE,Ly 7152,3885,60,37.87,-1.33
ALMIZARAQUE,UGRA 164/UtC 2631,3921,74,37.26,-1.79
VALE DE RODRIGO 2,Ua 10831*,3905,75,38.52,-8.05
LECEIA,ICEN 1211,3900,80,38.73,-9.28
MARROQUIES BAJOS,UtC 6457,3942,40,37.78,-3.79
CASTELO VELHO,Ua 20632*,3940,40,41.07,-7.19
PERDIGOES,Beta 289264*,3940,40,38.44,-7.55
CABEZO JURE,Ua 35659*,3940,35,37.56,-7.09
JUNTA DE LOS RIOS,Ua 20481*,3935,40,37.56,-6.71
AGRO DE NOGUEIRA,Beta 231718,3930,40,42.94,-7.98
RIA DE GUERNICA,Beta 218474*,3930,40,43.32,-2.68
EL ARAMO- MINAS DE,OxA 3007*,3900,90,43.19,-5.9
LOS HUSOS I,I 3985,3920,100,42.59,-2.55
SAO PAULO 2,UBAR 630,3870,70,38.68,-9.16
LECEIA,ICEN 1216,3880,80,38.73,-9.28
BERNIOLLO,I 14785,3910,100,42.82,-2.9
CRUZINHA 2- MONTE DA,Sac 1516,3890,90,41.52,-8.74
ZAMBUJAL,KIA 27555,3941,32,39.07,-9.29
LA PIJOTILLA,BM1603,3860,70,38.81,-6.66
MIGUENS 3,Wk 18507,3934,33,38.53,-7.39
PENEDO DE LEXIM,Sac 2069,3930,30,38.89,-9.18
ERAS DEL ALCAZAR,Ua 34707*,3925,35,38.01,-3.37
EL TARAJAL,CSIC 230,3860,80,36.85,-2.21
CERRO DE LA VIRGEN ,GrN 5596,3920,35,37.73,-2.51
CABEZO JURE,Ua 39866*,3917,30,37.56,-7.09
CASTELO VELHO,CSIC 1655,3917,34,41.07,-7.19
AMOREIRA,0,3920,30,39.1,-8.67
ALBALATE,UNK 1,3890,100,37.87,-4.22
CASTELO 1- MAMOA DO,CSIC 1816,3806,32,41.48,-7.4
CASTELO VELHO,Ua 17648*,3850,75,41.07,-7.19
ZARRA DE XOACÕN,Ua 21692*,3925,45,42.64,-8.13
CABEZO JURE,I 18305,3880,100,37.56,-7.09
CABEZO JURE,I 18309,3870,100,37.56,-7.09
SAGRADA I- CUEVA,I 15319,3870,100,37.73,-1.63
MANDUBI-ZELAIA,0,3915,45,43.09,-2.25
CASTANHEIRO DO VENTO,Ua 23431*,3910,45,41.06,-7.32
ALMIZARAQUE,CSIC 646,3910,50,37.26,-1.79
MARROQUIES BAJOS,UtC 6458,3910,50,37.78,-3.79
JUNTA DE LOS RIOS,Ua 20482*,3910,45,37.56,-6.71
EL MALAGON,BM 2540,3900,50,37.57,-2.42
ALMIZARAQUE,CSIC 647,3900,50,37.26,-1.79
CHOUZA DA PONTE,CSIC 1496,3892,28,43.03,-8.18
EL MILAGRO- MINA,OxA 3006*,3850,90,43.33,-5.01
LOS HUSOS I,0,3920,40,42.59,-2.55
EL ARAMO- MINAS DE,Ua 33690*,3920,40,43.19,-5.9
CERRO DE LA VIRGEN ,Beta 124539*,3920,40,37.73,-2.51
MONTECILLO,Beta 288932,3920,40,42.55,-2.67
POÇO VELHO,Beta 244397,3920,40,38.7,-9.42
PORTO DAS CARRETAS,Beta 196681*,3920,40,38.42,-7.35
CAMPOS,GrN 15507,3915,40,37.3,-1.87
EL ARAMO- MINAS DE,Ua 33700*,3915,40,43.19,-5.9
LOS CASTILLEJOS,Beta 135667*,3910,40,37.33,-3.97
CASTELO VELHO,Ua 20630*,3905,40,41.07,-7.19
COIRO- CHAN DO,CSIC 770,3830,80,42.29,-5.08
MIGUENS 4,Wk 18508,3902,38,38.53,-7.39
EL ARAMO- MINAS DE,Ua 33694*,3905,45,43.19,-5.9
MANDUBI-ZELAIA,GrA 22849*,3905,45,43.09,-2.25
MANDUBI-ZELAIA,GrA 22581*,3905,45,43.09,-2.25
MONTE DA VELHA,Beta 194027,3900,40,37.95,-7.34
EL ARAMO- MINAS DE,Ua 33694*,3905,45,43.19,-5.9
CEBOLHINOS 2- HERDADE DOS,Beta 176899,3900,40,38.4,-7.55
LANGATXO,Ua 3328*,3820,85,43.28,-2.37
CASTANHEIRO DO VENTO,Ua 32080*,3895,40,41.06,-7.32
CASTELO VELHO,Ua 20635*,3895,40,41.07,-7.19
MARROQUIES BAJOS,Ua 34550*,3895,40,37.78,-3.79
CERRO DE LA VIRGEN ,GrN 5593,3890,40,37.73,-2.51
CASTANHEIRO DO VENTO,Ua 32083*,3890,45,41.06,-7.32
CERRO DE LA VIRGEN ,Beta 124542*,3890,40,37.73,-2.51
JUNTA DE LOS RIOS,Ua 20483*,3890,45,37.56,-6.71
ZAMBUJAL,KIA 7258,3891,43,39.07,-9.29
MARROQUIES BAJOS,Ua 20267*,3885,40,37.78,-3.79
JUNTA DE LOS RIOS,Ua 23884*,3880,40,37.56,-6.71
CASTELO VELHO,Ua 20629*,3880,45,41.07,-7.19
PRAIA LADEIRA,CSIC 1067,3877,40,42.85,-8.86
ALCALAR 7,Beta 180980*,3860,40,37.2,-8.59
O FIX”N,CSIC 1189,3875,33,42.26,-8.84
GATAS,OxA 4962*,3895,55,37.13,-1.88
CABEZO JURE,I 18308,3850,100,37.56,-7.09
CASTANHEIRO DO VENTO,Ua 18702*,3880,60,41.06,-7.32
LOS MILLARES- FORTIN 1,Beta 125859,3880,60,36.96,-2.53
EL MALAGON,BM 2348,3870,60,37.57,-2.42
CERRO DE LA VIRGEN ,Beta 124543*,3870,60,37.73,-2.51
CABEZO JURE,I 19306,3830,100,37.56,-7.09
ALBALATE,UNK 1,3830,100,37.87,-4.22
CORTIJO DE LA TORRE,I,3830,90,37.9,-4.01
POCITO CHICO,UGRA 552,3830,100,36.7,-6.26
CABEZO JURE,I 18306,3830,100,37.56,-7.09
ALMIZARAQUE,CSIC 655,3890,50,37.26,-1.79
ZAJARA,UNK 1,3820,100,37.28,-1.84
ERAS DEL ALCAZAR,Ua 34709*,3865,35,38.01,-3.37
SERRA GROSSA,Bln 947,3815,100,38.36,-0.45
CASTANHEIRO DO VENTO,Ua 20450*,3970,45,41.06,-7.32
LOS MILLARES- FORTIN 1,BM 2537,3880,50,36.96,-2.53
PORTO DAS CARRETAS,Beta 204062*,3860,40,38.42,-7.35
CASTELO 1- MAMOA DO,CSIC 1815,3862,33,41.48,-7.4
BURACO DA PALA,CSIC 971,3860,30,41.46,-7.29
TIO MELON- RAMBLA DEL,UGRA,3855,40,37.55,-2.86
CERRO DE LA VIRGEN ,GrN 5595,3865,50,37.73,-2.51
ALTO DE LA HUESERA,Beta 321418,3850,30,42.57,-2.57
ZAMBUJAL,KN 4506,3847,34,39.07,-9.29
MADRES MERCEDARIAS,IRPA 1210,3835,30,37.68,-1.7
ALMIZARAQUE,CSIC 269,3860,60,37.26,-1.79
ZAMBUJAL,KN I-117,3860,60,39.07,-9.29
PEDRA ESCORREGADIA,ICEN 1028,3800,100,37.07,-8.92
CABEZO JURE,Ua 22809*,3840,45,37.56,-7.09
LAS PILAS,IRPA 1029,3840,50,37.15,-1.85
CASTANHEIRO DO VENTO,Ua 23429*,3850,40,41.06,-7.32
LOS GABRIELES 4,Beta 185648,3850,40,37.56,-6.71
LOS MILLARES FORTIN 5,Beta 135670,3840,50,36.96,-2.52
SÃO PEDRO DE ESTORIL 2,Beta 178466,3850,40,38.71,-9.37
MENINAS DO CRASTO 4,CSIC 661,3830,50,41.2,-8.02
ARENAZA 1,CSIC 702,3840,70,43.26,-3.1
ILLADE,GrN 19213,3855,60,43.47,-7.88
LOS MILLARES FORTIN 5,Beta 1356871,3840,70,36.96,-2.52
CABRAS,CSIC 1057,3850,60,41.2,-8.05
LOS MILLARES- FORTIN 4,Beta 135669,3830,70,36.96,-2.52
CASTELLON ALTO,Ua 37888*,3840,60,37.45,-3.28
PORTO DAS CARRETAS,Beta 193743*,3840,60,38.42,-7.35
ARENAZA 1,Ua 3903*,3835,55,43.26,-3.1
PE—AJORAO 4,AA 29645*,3830,55,43.39,-3.92
EL TARAJAL,CSIC 224,3820,50,36.85,-2.21
LA VENTA,Beta 150158,3820,50,37.67,-6.71
SANTA MARÕA DE ESTARRONA,I 14589,3780,100,42.86,-2.75
PENEDO DE LEXIM,Sac 2067,3820,50,38.89,-9.18
RORTURA,OxA 5539*,3820,50,38.53,-8.92
COTO DOS MOUROS,CAMS 83116*,3830,60,42.72,-7.91
SAN MIGUEL DE IRURA,0,3840,35,43.17,-2.87
LOS CASTILLEJOS,GrN 7287,3840,35,37.33,-3.97
MONTENEGRO,CSIC 1986,3813,52,42.31,-8.74
EL ARAMO- MINAS DE,Ua 35378*,3840,35,43.19,-5.9
ZAMBUJAL,KIA 7261,3842,37,39.07,-9.29
CERRO DE LA VIRGEN ,GrN 5598,3835,35,37.73,-2.51
EL ARAMO- MINAS DE,Ua 33699*,3840,40,43.19,-5.9
EL ARAMO- MINAS DE,Ua 18632*,3825,60,43.19,-5.9
CEBOLHINOS 2- HERDADE DOS,Beta 177471,3840,40,38.4,-7.55
RUBIRA 12- CALLE,KIK 330/ UtC 3437*,3760,100,37.68,-1.7
ALBARDEIROS- MONTE NOVO DOS,ICEN 529,3760,100,38.4,-7.55
LAS PILAS,IRPA 1030,3820,60,37.15,-1.85
SAMARRA,Sac 1827,3820,60,38.9,-9.43
DOLMEN DE SOTO,Ua 35665,3830,35,37.35,-6.75
ZAMBUJAL,KIA 7257,3836,39,39.07,-9.29
ALAGOA,CSIC 1811,3818,32,41.47,-7.4
CAVA 35- CALLE,KIK 732/UtC 5526*,3830,40,37.68,-1.7
SÃO PEDRO DE ESTORIL 1,Beta 178467,3830,40,38.71,-9.37
EL ARAMO- MINAS DE,Ua 33703*,3825,40,43.19,-5.9
MOURELA 7,CSIC 977,3820,35,43.42,-7.86
LOS MILLARES- FORTIN 1,BM 2345,3820,40,36.96,-2.53
CASTANHEIRO DO VENTO,Ua 32079*,3820,40,41.06,-7.32
SAN BLAS,Beta 178652,3820,40,38.55,-7.29
EL ARAMO- MINAS DE,Ua 35375*,3815,35,43.19,-5.9
PENEDO DE LEXIM,Beta 142451,3820,40,38.89,-9.18
SAO JULIAO,UtC 5610*,3814,36,41.69,-8.39
CERRO DE LA VIRGEN ,Ua 39419*,3802,30,37.73,-2.51
CASTANHEIRO DO VENTO,Ua 32084*,3815,45,41.06,-7.32
A LAGOA,CSIC 1000,3800,30,43,-7.98
CASTELO VELHO,ICEN 1169,3770,130,41.07,-7.19
NARDAKOSTE 4,Ua 11848*,3810,65,43,-2.43
CERRO DE LA VIRGEN ,GrN 5764,3800,35,37.73,-2.51
SAN MIGUEL DE IRURA,0,3800,35,43.17,-2.87
REBOREDO 1,GrN 19214,3820,70,43.5,-7.88
PEÑALOSA,Beta 167222,3800,40,38.17,-3.8
ERAS DEL ALCAZAR,CSIC 1822,3788,32,38.01,-3.37
EL MILAGRO- MINA,Ua 33207*,3785,35,43.33,-5.01
CERRO DE LA VIRGEN ,Ua 39421*,3785,33,37.73,-2.51
CERRO DE LA VIRGEN ,Ua 39420*,3780,32,37.73,-2.51
EL ARAMO- MINAS DE,OxA 1926*,3810,70,43.19,-5.9
ARENAZA 1,CSIC 700,3790,60,43.26,-3.1
CASTANHEIRO DO VENTO,Ua 18040*,3790,60,41.06,-7.32
CASTANHEIRO DO VENTO,Ua 18701*,3790,60,41.06,-7.32
MERCADOR,Sac 1933,3790,60,38.36,-7.31
ARENAZA 1,Ua 3173*,3805,70,43.26,-3.1
CASTANHEIRO DO VENTO,Ua 18042*,3810,75,41.06,-7.32
LAS PILAS,IRPA 1027,3810,50,37.15,-1.85
PORTO TORRAO,Sac 2027,3810,50,38.08,-8.13
RORTURA,OxA 5540*,3810,50,38.53,-8.92
GATAS,KIK 56/ UtC 1438*,3790,70,37.13,-1.88
LAYAZA,Beta 317864,3770,30,42.58,-2.65
PRAIA LADEIRA,CSIC 1018,3770,30,42.85,-8.86
SANTA MARÕA DE ESTARRONA,GrN 28859,3780,60,42.86,-2.75
CERRO DE LA VIRGEN ,Beta 124533,3780,60,37.73,-2.51
ZAMBUJAL,KIA 7259,3801,43,39.07,-9.29
EL ARAMO- MINAS DE,Ua 18629*,3775,65,43.19,-5.9
SÃO PEDRO DE ESTORIL 1,Beta 178468,3790,40,38.71,-9.37
ERAS DEL ALCAZAR,CSIC 1769,3791,45,38.01,-3.37
LOS CASTILLEJOS,Beta 135666,3770,70,37.33,-3.97
COVACHOS- CUEVA DE LOS,Beta 136697,3780,40,37.88,-6.08
EL ARAMO- MINAS DE,Ua 33697*,3780,40,43.19,-5.9
SANTA MARGARIDA 3- HERDADE DE,Beta 166418*,3780,40,38.44,-7.44
EL MILAGRO- MINA,Ua 33209*,3775,35,43.33,-5.01
MENINAS DO CRASTO 4,CSIC 660,3800,50,41.2,-8.02
ALBARDAO- HORTA DO,Beta 261320,3770,40,38.47,-7.7
SANTA MARGARIDA 3- HERDADE DE,Beta 166417*,3770,40,38.44,-7.44
MARROQUIES BAJOS,Ua 21455*,3775,45,37.78,-3.79
CAMEIXA,UtC 7276,3778,49,42.42,-8.16
PENEDO DE LEXIM,Beta 186855,3850,40,38.89,-9.18
MARROQUIES BAJOS,Ua 21804*,3765,45,37.78,-3.79
HALTZERREKA,GrN 26668,3790,80,42.95,-2.23
ARENAZA 1,CSIC 609,3760,50,43.26,-3.1
MARROQUIES BAJOS,CSIC 1240,3760,51,37.78,-3.79
CASTANHEIRO DO VENTO,Ua 23428*,3740,40,41.06,-7.32
ATXOSTE,GrA 9787*,3740,40,42.76,-2.48
FUENTE ALAMO,Bln 4772,3738,39,37.33,-1.86
HALTZERREKA,GrN 26670,3760,60,42.95,-2.23
GATAS,OxA 4963*,3755,55,37.13,-1.88
NOSSA SENHORA DA CONCEICAO DOS OLIVIAIS / ESTREMOZ 7,Wk 17089,3758,36,38.85,-7.62
PILETA- CUEVA DE LA,GifA 98518*,3760,60,36.69,-5.27
FUENTE ALAMO,KIK 2941/ KIA 22261*,3760,25,37.33,-1.86
BORRACHEIRA (o SERRA DA VILA),CAIS 8454,3760,25,39.09,-9.26
BOUCINHAS,AA 63072*,3739,50,41.68,-8.6
TRASTEJON,Beta 165549,3780,80,37.93,-6.39
ARQUINHA DA MOURA,GrA 9577*,3740,50,40.51,-8.01
CERRO DE LA VIRGEN ,GrN 5594,3735,55,37.73,-2.51
EL ARAMO- MINAS DE,Ua 33698*,3730,60,43.19,-5.9
SANTA MARGARIDA 3- HERDADE DE,Beta 166421*,3730,40,38.44,-7.44
CASTELO VELHO,ICEN 1170,3660,130,41.07,-7.19
ANTA DA CABEÇUDA,ICEN 979,3720,45,39.38,-7.38
SERRA DA MUNA 1 ,GrN 24056,3750,25,40.71,-7.9
SANTA VITORIA,ICEN 975,3750,100,39,-7.09
MERCADOR,Sac 1900,3720,80,38.36,-7.31
EL MALAGON,UNK 1,3735,35,37.57,-2.42
LOS GABRIELES 4,Beta 185650,3700,50,37.56,-6.71
EL ARAMO- MINAS DE,Ua 35377*,3725,35,43.19,-5.9
CRASTO DE PALHEIROS,CSIC 1216,3729,39,41.4,-7.38
CASTANHEIRO DO VENTO,Ua 23430*,3720,40,41.06,-7.32
CASTELLONES- CERRO DE LOS,GrN 10149,3720,40,37.45,-3.28
SANTA MARGARIDA 3- HERDADE DE,Beta 166420*,3720,40,38.44,-7.44
SE-B,Beta 225413*,3720,40,37.5,-5.96
MORA- CERRO DE LA,UGRA 262,3710,90,37.21,-3.98
PUNTA DE LOS GAVILANES,KIK 4396/ KIA 32355*,3730,30,37.56,-1.28
MOINHO DE VALADARES,OxA 12715*,3726,29,38.33,-7.37
